gene1,gene2,weight
AADACL3,NDUFS6,0.512
AADACL3,NDUFS8,0.526
AADACL3,NDUFV1,0.516
AADACL3,NDUFV2,0.502
AADACL3,OR6J1,0.48
AADACL3,PALB2,0.487
AADACL3,PM20D1,0.401
AADACL3,PMPCA,0.485
AADACL3,PMPCB,0.449
AADACL3,PRXL2C,0.459
AADACL3,SPINK9,0.461
AADACL3,TDO2,0.569
AADACL3,UQCRC1,0.449
AADACL3,UQCRFS1,0.535
AADACL3,URAD,0.401
AADACL4,CYC1,0.533
AADACL4,ENSP00000497305,0.465
AADACL4,KMO,0.4
AADACL4,KYNU,0.579
AADACL4,NDUFA12,0.503
AADACL4,NDUFA2,0.501
AADACL4,NDUFA5,0.502
AADACL4,NDUFA6,0.503
AADACL4,NDUFA9,0.465
AADACL4,NDUFAB1,0.487
AADACL4,NDUFS1,0.572
AADACL4,NDUFS4,0.503
AADACL4,NDUFS6,0.512
AADACL4,NDUFS8,0.526
AADACL4,NDUFV1,0.516
AADACL4,NDUFV2,0.502
AADACL4,PALB2,0.487
AADACL4,PMPCA,0.485
AADACL4,PMPCB,0.449
AADACL4,PRXL2C,0.487
AADACL4,PTGES3L-AARSD1,0.405
AADACL4,RNF148,0.421
AADACL4,RNF223,0.623
AADACL4,TDO2,0.569
AADACL4,TIFAB,0.4
AADACL4,UQCRC1,0.449
AADACL4,UQCRFS1,0.535
AADAT,AASDH,0.512
AADAT,AASS,0.582
AADAT,ABAT,0.422
AADAT,ACMSD,0.62
AADAT,AFMID,0.955
AADAT,AGXT,0.446
AADAT,AGXT2,0.469
AADAT,ALDH7A1,0.929
AADAT,ASNS,0.777
AADAT,ASNSD1,0.734
AADAT,ASS1,0.685
AADAT,BCAT1,0.889
AADAT,BCAT2,0.894
AADAT,CAPNS2,0.42
AADAT,CRYM,0.408
AADAT,DECR1,0.439
AADAT,DHTKD1,0.94
AADAT,DLD,0.909
AADAT,DLST,0.908
AADAT,FBXO15,0.411
AADAT,FH,0.81
AADAT,GCDH,0.412
AADAT,GOT1,0.513
AADAT,GOT2,0.678
AADAT,GPR35,0.662
AADAT,GTPBP6,0.425
AADAT,HAAO,0.776
AADAT,HAO1,0.458
AADAT,HAO2,0.556
AADAT,HGD,0.403
AADAT,HMGCLL1,0.427
AADAT,HPD,0.582
AADAT,HPDL,0.524
AADAT,IAH1,0.513
AADAT,IDO1,0.631
AADAT,IDO2,0.589
AADAT,ITPK1,0.503
AADAT,KMO,0.983
AADAT,KYAT1,0.999
AADAT,KYAT1-2,0.552
AADAT,KYAT3,0.96
AADAT,KYNU,0.98
AADAT,LPCAT2,0.422
AADAT,MBIP,0.492
AADAT,MFAP3L,0.453
AADAT,NIF3L1,0.567
AADAT,OAT,0.45
AADAT,OGDH,0.419
AADAT,PDE10A,0.432
AADAT,PDXK,0.569
AADAT,PHYKPL,0.463
AADAT,PLPBP,0.699
AADAT,PNPO,0.424
AADAT,PRDM11,0.4
